total_iterations,E_slope,E_intercept,nu,alpha_base,alpha_slope,SS316_T_ref,SS316_k_ref,SS316_alpha,iteration1_keff,iteration1_avg_fuel_temp,iteration1_max_fuel_temp,iteration1_max_monolith_temp,iteration1_max_global_stress,iteration1_monolith_new_temperature,iteration1_Hcore_after,iteration1_wall2,iteration2_keff,iteration2_avg_fuel_temp,iteration2_max_fuel_temp,iteration2_max_monolith_temp,iteration2_max_global_stress,iteration2_monolith_new_temperature,iteration2_Hcore_after,iteration2_wall2
2,-76689530.60190515,186130225528.31912,0.3191534220214019,9.13486280243744e-06,4.5526171337641765e-09,824.9246764263769,22.963207729225587,0.009999133564409507,1.1133589146381135,1012.83,1097.75,1062.0095334644234,154.7,954.2189227797402,152.1247842887855,29.897461964665652,1.1042181541028928,1003.09,1078.84,1041.63854494825,133.17,951.3174046965071,152.11643843817978,29.8954172664344
2,-78423417.23387909,229592542921.80136,0.3398227767665391,1.2318981029470678e-05,4.414537848818887e-09,903.1139539852263,21.03279095269602,0.014280464143319923,1.1133589146381242,1020.55,1111.22,1077.4811629596552,295.9,956.8306270952971,152.5643980527834,29.966493179216194,1.1020494341910188,1001.91,1076.28,1039.0477507413675,225.69,951.0260933559728,152.5451859328823,29.961638256428742
2,-78423417.23387909,229592542921.80136,0.3398227767665391,1.2318981029470678e-05,4.414537848818887e-09,918.1598965192433,23.230111548201695,0.014280464143319923,1.113358914638136,1014.89,1101.35,1066.123820216585,275.55,954.9401485137274,152.55813595772798,29.9649759100251,1.1025330431385474,999.96,1072.5,1034.793405736485,217.6,950.5052577922572,152.5434642282752,29.961146212254437
2,-73125055.55346063,210055444196.87564,0.3701948101116895,1.0553991417183367e-05,5.713760225297383e-09,975.1988138390067,21.95755722222145,0.012571146713221838,1.1133589146381353,1017.51,1105.94,1071.3944257786168,262.37,955.8067384666302,152.5418777091427,29.962376067182724,1.103058655734394,1002.11,1076.78,1039.5556783404259,208.83,951.0748384112807,152.52543654470196,29.95829107760769
2,-61615762.45853707,211188645430.28915,0.32904845260280274,1.0141854963635646e-05,5.386110775989091e-09,975.1988138390067,27.012515669379496,0.01311835263126038,1.113358914638132,1008.77,1090.48,1053.710745554055,226.3,952.9296165884049,152.41428616965203,29.93519974123586,1.1031613418809942,998.5,1069.76,1031.6652765212712,188.91,950.0937643332953,152.40492463155766,29.93280116785347
2,-73125055.55346063,211188645430.28915,0.32904845260280274,1.0141854963635646e-05,5.386110775989091e-09,1167.281858676719,27.012515669379496,0.01311835263126038,1.1133589146381224,1013.65,1099.15,1063.5953760194554,225.17,954.531945815171,152.4195814241175,29.93644534141453,1.103231844262538,1000.6,1073.8,1036.1497325145065,182.83,950.6480843998326,152.40675349651957,29.933286190495426
2,-61615762.45853707,211188645430.28915,0.32904845260280274,1.0141854963635646e-05,5.386110775989091e-09,1167.281858676719,27.012515669379496,0.012571146713221838,1.1133589146381198,1012.53,1097.22,1061.4007146891142,239.14,954.1220842726133,152.41822655032914,29.936135470495373,1.10326011186557,1000.49,1074.12,1036.3046895659104,196.71,950.6177885516432,152.40665352877804,29.933267396452372
2,-69894091.46835987,169132690363.03625,0.2841839581143732,8.332294637098962e-06,5.16672231813704e-09,950.3899136386196,22.26644668740329,0.012298585429322797,1.1133589146381249,1019.33,1109.11,1075.0471637574715,142.72,956.4184377352342,152.12667193688662,29.887407457703958,1.1048039302803152,1004.11,1080.95,1043.8957233460892,115.06,951.6188051656181,152.1124597856631,29.884195375017537
2,-70090192.77877069,191910085659.57065,0.29889629020369335,9.801326440243421e-06,4.961640070305999e-09,738.8477910733809,20.761295616707073,0.01361602492080352,1.1133589146381406,1006.38,1086.15,1048.7872859050437,162.75,952.2004818728662,152.28732285477372,29.912835644563856,1.1041245502613346,995.26,1063.86,1024.9527480628055,131.46,949.2361501990941,152.278107905437,29.91045728818163
2,-76689530.60190515,186130225528.31912,0.3191534220214019,1.093955884376984e-05,4.5526171337641765e-09,824.9246764263769,20.354356379351742,0.009999133564409507,1.1133589146381253,1018.72,1108.05,1073.8288941723636,189.27,956.2134718660441,152.38937922749017,29.935420540132757,1.103053382423332,1005.94,1083.48,1047.1728380596255,158.38,952.1810700275615,152.37668107286862,29.932332662269708
2,-76689530.60190515,186130225528.31912,0.3191534220214019,1.093955884376984e-05,4.5526171337641765e-09,824.9246764263769,22.963207729225587,0.009999133564409507,1.113358914638124,1012.83,1097.75,1062.0095334644234,175.42,954.2189227797403,152.38309555676892,29.933941598033062,1.1034858187492842,1003.0,1078.53,1041.4154172666063,150.74,951.3321642737867,152.37401067287786,29.93165246003822
2,-70090192.77877069,191910085659.57065,0.29889629020369335,9.801326440243421e-06,4.961640070305999e-09,757.3261089467048,20.761295616707073,0.01361602492080352,1.1133589146381209,1006.86,1087.02,1049.7720301480358,164.01,952.3438587029534,152.2877688889532,29.91294259258324,1.1034225324349118,995.44,1064.11,1025.2932598519983,131.81,949.2927496828852,164.84830458894157,29.910477830513425
2,-61615762.45853707,211188645430.28915,0.32904845260280274,1.0553991417183367e-05,5.386110775989091e-09,1167.281858676719,27.012515669379496,0.01311835263126038,1.1133589146381204,1013.65,1099.15,1063.5953760194552,249.21,954.5319458151712,152.47859103601084,29.944844045370697,1.1030336300481791,1000.58,1073.85,1036.1845317895295,202.31,950.6512041378168,152.4655334934834,29.941597314308293
